"GEO_ID","NAME","B08203_001E","B08203_001M","B08203_002E","B08203_002M","B08203_003E","B08203_003M","B08203_004E","B08203_004M","B08203_005E","B08203_005M","B08203_006E","B08203_006M","B08203_007E","B08203_007M","B08203_008E","B08203_008M","B08203_009E","B08203_009M","B08203_010E","B08203_010M","B08203_011E","B08203_011M","B08203_012E","B08203_012M","B08203_013E","B08203_013M","B08203_014E","B08203_014M","B08203_015E","B08203_015M","B08203_016E","B08203_016M","B08203_017E","B08203_017M","B08203_018E","B08203_018M","B08203_019E","B08203_019M","B08203_020E","B08203_020M","B08203_021E","B08203_021M","B08203_022E","B08203_022M","B08203_023E","B08203_023M","B08203_024E","B08203_024M","B08203_025E","B08203_025M","B08203_026E","B08203_026M","B08203_027E","B08203_027M","B08203_028E","B08203_028M","B08203_029E","B08203_029M","B08203_030E","B08203_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!No workers:","Margin of Error!!Total:!!No workers:","Estimate!!Total:!!No workers:!!No vehicle available","Margin of Error!!Total:!!No workers:!!No vehicle available","Estimate!!Total:!!No workers:!!1 vehicle available","Margin of Error!!Total:!!No workers:!!1 vehicle available","Estimate!!Total:!!No workers:!!2 vehicles available","Margin of Error!!Total:!!No workers:!!2 vehicles available","Estimate!!Total:!!No workers:!!3 vehicles available","Margin of Error!!Total:!!No workers:!!3 vehicles available","Estimate!!Total:!!No workers:!!4 or more vehicles available","Margin of Error!!Total:!!No workers:!!4 or more vehicles available","Estimate!!Total:!!1 worker:","Margin of Error!!Total:!!1 worker:","Estimate!!Total:!!1 worker:!!No vehicle available","Margin of Error!!Total:!!1 worker:!!No vehicle available","Estimate!!Total:!!1 worker:!!1 vehicle available","Margin of Error!!Total:!!1 worker:!!1 vehicle available","Estimate!!Total:!!1 worker:!!2 vehicles available","Margin of Error!!Total:!!1 worker:!!2 vehicles available","Estimate!!Total:!!1 worker:!!3 vehicles available","Margin of Error!!Total:!!1 worker:!!3 vehicles available","Estimate!!Total:!!1 worker:!!4 or more vehicles available","Margin of Error!!Total:!!1 worker:!!4 or more vehicles available","Estimate!!Total:!!2 workers:","Margin of Error!!Total:!!2 workers:","Estimate!!Total:!!2 workers:!!No vehicle available","Margin of Error!!Total:!!2 workers:!!No vehicle available","Estimate!!Total:!!2 workers:!!1 vehicle available","Margin of Error!!Total:!!2 workers:!!1 vehicle available","Estimate!!Total:!!2 workers:!!2 vehicles available","Margin of Error!!Total:!!2 workers:!!2 vehicles available","Estimate!!Total:!!2 workers:!!3 vehicles available","Margin of Error!!Total:!!2 workers:!!3 vehicles available","Estimate!!Total:!!2 workers:!!4 or more vehicles available","Margin of Error!!Total:!!2 workers:!!4 or more vehicles available","Estimate!!Total:!!3 or more workers:","Margin of Error!!Total:!!3 or more workers:","Estimate!!Total:!!3 or more workers:!!No vehicle available","Margin of Error!!Total:!!3 or more workers:!!No vehicle available","Estimate!!Total:!!3 or more workers:!!1 vehicle available","Margin of Error!!Total:!!3 or more workers:!!1 vehicle available","Estimate!!Total:!!3 or more workers:!!2 vehicles available","Margin of Error!!Total:!!3 or more workers:!!2 vehicles available","Estimate!!Total:!!3 or more workers:!!3 vehicles available","Margin of Error!!Total:!!3 or more workers:!!3 vehicles available","Estimate!!Total:!!3 or more workers:!!4 or more vehicles available","Margin of Error!!Total:!!3 or more workers:!!4 or more vehicles available",
"1400000US13121001102","Census Tract 11.02; Fulton County; Georgia","2706","347","331","160","1671","339","704","345","0","14","0","14","287","229","120","110","167","202","0","14","0","14","0","14","1776","400","211","133","1269","279","296","299","0","14","0","14","628","235","0","14","235","150","393","175","0","14","0","14","15","23","0","14","0","14","15","23","0","14","0","14",
"1400000US13121001203","Census Tract 12.03; Fulton County; Georgia","1857","643","315","123","924","536","521","402","97","76","0","14","225","90","117","68","94","77","14","22","0","14","0","14","968","517","136","89","712","528","111","101","9","14","0","14","612","405","48","37","118","102","396","394","50","55","0","14","52","53","14","22","0","14","0","14","38","48","0","14",
"1400000US13121001204","Census Tract 12.04; Fulton County; Georgia","1531","268","173","178","931","247","392","98","24","26","11","16","144","64","24","26","91","56","29","32","0","14","0","14","973","271","133","176","739","240","101","61","0","14","0","14","378","97","16","23","90","64","262","84","10","16","0","14","36","31","0","14","11","18","0","14","14","21","11","16",
"1400000US13121001205","Census Tract 12.05; Fulton County; Georgia","1445","200","229","113","988","171","214","108","14","19","0","14","167","87","74","62","93","59","0","14","0","14","0","14","1019","177","155","100","789","160","67","74","8","13","0","14","259","108","0","14","106","68","147","77","6","13","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121001206","Census Tract 12.06; Fulton County; Georgia","2708","468","413","172","1857","451","427","148","11","19","0","14","271","311","0","14","222","302","49","64","0","14","0","14","1835","349","282","134","1373","367","180","136","0","14","0","14","543","192","131","136","203","142","198","86","11","19","0","14","59","92","0","14","59","92","0","14","0","14","0","14",
"1400000US13121001301","Census Tract 13.01; Fulton County; Georgia","1682","517","370","502","720","282","549","172","43","33","0","14","303","264","0","14","229","252","74","78","0","14","0","14","804","520","370","502","366","140","68","28","0","14","0","14","561","157","0","14","125","63","407","144","29","25","0","14","14","22","0","14","0","14","0","14","14","22","0","14",
"1400000US13121001302","Census Tract 13.02; Fulton County; Georgia","1093","146","60","70","678","204","318","126","37","32","0","14","186","93","19","31","140","94","27","28","0","14","0","14","533","210","0","14","468","201","65","57","0","14","0","14","358","143","41","62","70","58","226","108","21","23","0","14","16","24","0","14","0","14","0","14","16","24","0","14",
"1400000US13121001400","Census Tract 14; Fulton County; Georgia","1565","211","65","48","1128","253","300","138","56","38","16","19","255","188","14","21","220","187","14","22","7","17","0","14","875","171","38","35","755","176","66","44","16","26","0","14","417","157","13","23","153","131","220","126","26","21","5","10","18","21","0","14","0","14","0","14","7","14","11","16",
"1400000US13121001501","Census Tract 15.01; Fulton County; Georgia","1430","337","141","82","766","295","386","191","108","64","29","35","343","289","99","73","235","286","9","16","0","14","0","14","587","130","29","37","466","122","75","58","0","14","17","28","472","202","13","21","65","51","302","180","80","64","12","19","28","24","0","14","0","14","0","14","28","24","0","14",
"1400000US13121001502","Census Tract 15.02; Fulton County; Georgia","1042","139","23","30","586","133","304","87","82","60","47","40","111","68","0","14","62","42","49","60","0","14","0","14","548","167","23","30","428","153","49","37","48","47","0","14","290","77","0","14","40","33","190","67","13","20","47","40","93","81","0","14","56","75","16","27","21","20","0","14",
"1400000US13121001600","Census Tract 16; Fulton County; Georgia","1487","203","108","85","863","225","482","132","34","39","0","14","121","77","31","56","80","47","10","14","0","14","0","14","838","213","77","68","647","202","104","68","10","14","0","14","528","124","0","14","136","95","368","116","24","36","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US13121001701","Census Tract 17.01; Fulton County; Georgia","1093","199","179","113","557","175","280","128","77","61","0","14","338","159","121","105","217","127","0","14","0","14","0","14","467","174","58","48","256","129","131","99","22","29","0","14","273","112","0","14","84","61","149","82","40","44","0","14","15","23","0","14","0","14","0","14","15","23","0","14",
"1400000US13121001702","Census Tract 17.02; Fulton County; Georgia","2523","512","41","49","1678","565","737","186","51","57","16","25","318","267","0","14","266","259","52","51","0","14","0","14","1406","497","41","49","1234","508","112","82","19","29","0","14","767","201","0","14","178","78","573","183","0","14","16","25","32","50","0","14","0","14","0","14","32","50","0","14",
"1400000US13121001801","Census Tract 18.01; Fulton County; Georgia","1624","356","579","355","932","240","74","58","39","42","0","14","628","358","447","349","181","108","0","14","0","14","0","14","792","229","74","59","666","237","13","16","39","42","0","14","150","110","22","27","85","93","43","47","0","14","0","14","54","76","36","57","0","14","18","30","0","14","0","14",
"1400000US13121001802","Census Tract 18.02; Fulton County; Georgia","1459","193","279","161","715","167","447","178","18","27","0","14","283","106","139","83","114","69","12","18","18","27","0","14","827","202","140","140","570","146","117","89","0","14","0","14","349","161","0","14","31","32","318","169","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
